Key, English,Türkçe, German, Russian
GAMEPLAY_AuroraEnergyDrink, "Energy Drink", "Enerji İçeceği", "Energy Drink", "Энергетический напиток"
GAMEPLAY_AuroraEnergyDrinkDescription, "Might keep you awake for a few more hours, but this won't make you fly.", "Birkaç saat daha uyanık kalabilirsiniz ancak bu sizi uçurmaz.", "Hält dich vielleicht für ein paar Stunden wach, aber wird dich nicht fliegen lassen.", "Возможно, вы не заснете еще несколько часов, но он не заставит вас летать."
GAMEPLAY_Cornflakes, "Cornflakes", "Mısır Gevreği", "Cornflakes", "Кукурузные хлопья"
GAMEPLAY_CornflakesDescription, "A big box of crispy cornflakes. Very dry.", "Büyük bir kutu mısır gevreği, çok susatır.", "Eine große Packung Cornflakes. Sehr trocken.", "Популярный, но отнюдь не идеальный готовый продукт, используемый для завтраков и перекусов."
GAMEPLAY_BeerBottle, "Beer", "Bira", "Bier", "Пиво"
GAMEPLAY_BeerBottleDescription, "A nice bottle of beer.\nHave a cold one!\n\nAlcohol 5% vol", "Bir şişe bira.\nSoğuk bir tane!\n\n%5 alkol içerir!", "Eine schöne Flasche Bier.\nGönn' Dir ein kühles Blondes!\n\nAlkohol 5% vol", "Хорошая бутылка пива.\n\nСодержание алкоголя 5%"
GAMEPLAY_CatFood, "Cat Food", "Kedi Maması", "Katzenfutter", "Кошачий корм"
GAMEPLAY_CatFoodDescription, "A can of cat food.\nSmells terrible and will probably taste even worse.", "Bir kutu kedi maması\nKötü kokuyor ve muhtemelen tadı daha da kötüdür.", "Eine Dose Katzenfutter.\nRiecht furchtbar und wird sicherlich noch viel schlechter schmecken.", "Банка кошачьей еды.\nПахнет ужасно, вероятно, вкус еще хуже."
GAMEPLAY_WhiskyFlask, "Hip Flask", "Matara", "Flachmann", "Фляжка"
GAMEPLAY_WhiskyFlaskDescription, "Smells like Whisky.\nMaybe one small sip against the cold fingers...", "Viski gibi kokuyor\nBelki ısınmak için bir yudum almalıyım..", "Riecht wie Whisky.\nVielleicht ein kleines Schlückchen gegen die kalten Finger...", "Пахнет как виски.\nМожет быть, один маленький глоток поможет согреться ..."
GAMEPLAY_CannedPineapples, "Pineapple Slices", "Ananas Dilimleri", "Ananasscheiben", "Ломтики ананаса"
GAMEPLAY_CannedPineapplesDescription, "Delicious and sweet.", "Lezzetli ve tatlı.", "Köstlich und süß.", "Кусочки ананаса высокого качества."
GAMEPLAY_CannedPears, "Pear Halves", "Armut Yarımları", "Birnenhälften", "Груши половинки"
GAMEPLAY_CannedPearsDescription, "Delicious and sweet.", "Lezzetli ve tatlı.", "Köstlich und süß.", "Половинки груш в лёгком сиропе."
GAMEPLAY_CannedMangos, "Diced Mangos", "Doğranmış Mango", "Mangostücke", "Манго"
GAMEPLAY_CannedMangosDescription, "Delicious and sweet.", "Lezzetli ve tatlı.", "Köstlich und süß.", "Кусочки манго в сладком сиропе."
GAMEPLAY_RiceRaw, "Long-Grain Rice (Raw)", "Uzun Taneli Pirinç (Pişmemiş)", "Langkornreis (Roh)", "Рис длиннозерный (Сырой)"
GAMEPLAY_RiceRawDescription, "One of the most widely consumed staple foods in the world.\nNeeds to be cooked before it can be eaten: one part rice and two parts water.", "Dünyada en çok tüketilen temel gıdalardan biri, yemeden önce pişirilmelidir.\nBiraz pirinç biraz da su.", "Eines der meistkonsumierten Grundnahrungsmittel der Welt.\nMuss gekocht werden, bevor er gegessen werden kann: ein Teil Reis und zwei Teile Wasser.", "Один из наиболее широко потребляемых продуктов питания в мире.\nНеобходимо приготовить перед едой."
GAMEPLAY_RiceCooked, "Long-Grain Rice (Cooked)", "Uzun Taneli Pirinç (Pişmiş)", "Langkornreis (Gegart)", "Рис длиннозерный (Приготовленный)"
GAMEPLAY_RiceCookedDescription, "Pure cooked white rice is rather dull, but provides good calories.", "Saf pişmiş beyaz pirinç, tatsız ancak iyi kalori sağlar.", "Reiner gekochter Langkornreis ist ziemlich langweilig, aber liefert wertvolle Kalorien.", "Приготовленный белый рис, отлично утоляет голод."
GAMEPLAY_CannedChili, "Chili", "Acı Biber", "Chili", "Банка Чили"
GAMEPLAY_CannedChiliDescription, "Hearty. Warming. Soul soothing. Chili!", "Doyurucu. Isıtıcı. Rahatlatıcı. Acı biber!", "Deftig. Wärmend. Balsam für die Seele. Chili!", "Перекус для любителей поострее."
GAMEPLAY_CannedStew, "Beef Stew", "Sığır Yahnisi", "Rindfleischeintopf", "Тушеная говядина"
GAMEPLAY_CannedStewDescription, "A hearty meal with meat and vegetables. Good enough to forget about everything else for little while.", "Et ve sebzelerden oluşan doyurucu bir yiyecek. Bir süre için her şeyi unutacak kadar iyi.", "Ein anständiges Essen mit Fleisch und Gemüse. Gut genug um alles andere für einen kurzen Moment zu vergessen.", "Сытный обед с мясом и овощами."
GAMEPLAY_CannedSpaghetti, "Spaghetti with Meatballs", "Köfteli Spagetti", "Spaghetti mit Fleischbällchen", "Спагетти с фрикадельками"
GAMEPLAY_CannedSpaghettiDescription, "Feed your inner child!", "İçinizdeki çocuğu besleyin!", "Für das Kind in dir!", "Накормите своего внутреннего ребенка!"
GAMEPLAY_HoneyJar, "Jar of Honey", "Bal Kavanozu", "Honigglas", "Мёд лесной"
GAMEPLAY_HoneyJarDescription, "A true lifesaver! Honey provides calories, vitamins, minerals and will never spoil!", "Gerçek bir cankurtaran! Kalori, vitamin, mineral sağlar ve hiçbir zaman bozulmaz!", "Ein echter Lebensretter! Honig liefert Kalorien, Vitamine, Mineralien und verdirbt nicht!", "Вкусное и очень полезное лакомство."
GAMEPLAY_SPAM, "SPAM", "İstenmeyen Ganimet", "Frühstücksfleisch", "Мясные консервы ""SPAM"""
GAMEPLAY_SPAMDescription, "Canned pork. Cheap and simple.", "Domuz eti konservesi. Ucuz ve basit.", "Schweinefleisch in Dosen. Billig und einfach.", "Консервированное мясо. Дешево и просто."
